Frequency (Hz),Real,Imag,Magnitude,Magnitude (dB)
26.0,-7.015668771798644e-12,-8.369266352675104e-13,1.4130825100950177e-15,-239.98773478510867
27.0,-2.528979142385632e-12,-2.4300690831479595e-12,7.014548097060317e-16,-239.9939093768356
28.0,6.300006782844388e-12,1.448023048890634e-11,3.158272695482377e-15,-239.97261082043846
29.0,7.605412132541461e-12,-5.398009154732e-12,1.865269916557701e-15,-239.98381356270818
30.0,-3.309839960029418e-11,1.092281820547214e-11,6.970830692680888e-15,-239.9396621927546
31.0,7.572040800209247e-13,-3.108586192531583e-11,6.2190165449485675e-15,-239.94614958392447
32.0,-1.0864324639081212e-11,-6.308505973433528e-12,2.512614554444781e-15,-239.97820307945398
33.0,1.460982534520314e-12,1.1527380708202001e-12,3.7219752960446565e-16,-239.99676773481755
34.0,7.801390858689915e-12,8.152915333203625e-13,1.5687753136042706e-15,-239.98638446782428
35.0,4.011446811867346e-12,-1.2639081768552547e-11,2.6520791351435806e-15,-239.9769948256261
36.0,-1.1426832734611791e-12,-4.262823522779361e-12,8.82663909986332e-16,-239.99233666026976
37.0,-2.301416107265336e-12,-3.330760784367714e-12,8.097032419710856e-16,-239.9929698527832
38.0,1.8452389344429155e-12,7.572105017027332e-13,3.989122444384445e-16,-239.99653578318285
39.0,-2.1258895063689244e-12,-1.0024109979119398e-11,2.049411496666988e-15,-239.98221725378153
40.0,-2.333901743900469e-12,-8.359637834237676e-13,4.958198381419538e-16,-239.99569443091065
41.0,7.073364233646728e-12,-4.500664880109505e-12,1.6767643357953896e-15,-239.9854480067553
42.0,6.9858467130395175e-12,8.287216165111777e-12,2.1677638807340154e-15,-239.9811914210921
43.0,-5.4868440727150275e-12,-8.389327837525869e-12,2.0048568970754443e-15,-239.98260346721003
44.0,-5.685454222928723e-12,9.087861419593712e-12,2.143955362434189e-15,-239.98139777438578
45.0,-5.721311268816997e-12,-1.1963178489003742e-11,2.652176782904595e-15,-239.9769939797119
46.0,-2.528928827699947e-12,-1.8875420257633428e-11,3.80881593631328e-15,-239.96697988904492
47.0,1.0937845619150546e-11,4.523443308973802e-12,2.3672600715415333e-15,-239.97946253944963
48.0,6.40905758191975e-15,-1.0509742131508761e-11,2.10194881713927e-15,-239.98176186565402
49.0,6.384869106446342e-13,-6.41410329221145e-12,1.289160759226285e-15,-239.98880970341645
50.0,2.3754765484966723e-11,-2500.000000000001,0.5000000000000002,-6.020599913262249
51.0,3.938202434443725e-12,6.1321001453575795e-12,1.4575608475443202e-15,-239.98734900489694
52.0,-4.906333088849156e-13,-1.5109271602804796e-13,1.0267425239544593e-16,-239.99910822855523
53.0,3.6939543494950673e-13,8.24288977812104e-13,1.8065495357770389e-16,-239.99843099273085
54.0,9.451029366104506e-13,9.282328009576782e-13,2.6494042300588515e-16,-239.99769906151744
55.0,3.824152789847535e-12,8.662969122774947e-13,7.842095357828852e-16,-239.99319111196772
56.0,3.5932392500189455e-13,1.4455407829853895e-13,7.746213646201795e-17,-239.99932719848954
57.0,-1.5240673091511927e-12,2.3320882185926773e-12,5.571863825371946e-16,-239.99516168836897
58.0,2.5376366284673094e-12,1.1142368506787073e-12,5.5429679477873e-16,-239.99518677306872
59.0,2.142722950779996e-12,7.251949407680631e-13,4.524232242453929e-16,-239.99607119047982
60.0,-5.14288912289407e-13,-7.494970186761803e-13,1.8179536477130586e-16,-239.99842108903988
61.0,-1.8846725651365976e-12,-1.7092816388444237e-12,5.088667565746162e-16,-239.99558116371603
62.0,-3.6537131348295273e-13,1.879458319295714e-12,3.829287020157213e-16,-239.99667456021757
63.0,1.3581849096898996e-14,-1.3535414841806362e-13,2.7206772773609242e-17,-239.99976368818892
64.0,-3.0156873092021384e-12,-1.1588397397130549e-12,6.46135573675403e-16,-239.99438955007633
65.0,-7.38101281769671e-13,-2.5540830190882037e-12,5.317192330749282e-16,-239.99538277284856
66.0,1.8418782731111416e-12,-1.0529487982782684e-12,4.2432142273302813e-16,-239.99631517267142
67.0,-3.443690675075276e-12,-5.794369726507729e-12,1.3480908870409244e-15,-239.9882985168935
68.0,5.6668120950738945e-12,-1.0933336812845627e-11,2.4629300695228937e-15,-239.9786335624631
69.0,7.35152937829598e-12,3.15225019328104e-12,1.5997708020962154e-15,-239.98611567028067
70.0,6.168329556216146e-13,-8.05392723129619e-14,1.2441374032245762e-16,-239.99891942320002
71.0,5.368225791379005e-12,8.913079448029924e-13,1.0883432914240926e-15,-239.99055191073256
72.0,-1.3698546483484153e-12,-8.47489223106041e-14,2.7449474584658766e-16,-239.99761609610093
73.0,1.6659309305584187e-12,-3.178048632038058e-12,7.176438942258259e-16,-239.9937688599378
74.0,4.592096965191704e-12,-1.2582916713472446e-12,9.522741720304022e-16,-239.99173258743383
75.0,7.327556616487301e-12,1.5604742466866567e-12,1.4983746639929428e-15,-239.98699502376422
76.0,-1.057161400521356e-12,3.823365202580422e-12,7.9336528028532e-16,-239.99311164886092
77.0,1.8195380112022996e-12,2.4604190705524098e-12,6.120255085189834e-16,-239.9946856400734
78.0,7.318798132573656e-14,-1.3833481275110129e-12,2.7705656624586695e-16,-239.99759385054645
79.0,2.9426551560656685e-12,3.113220496103208e-13,5.918155383594937e-16,-239.99486107604528
80.0,-1.0435875779975323e-15,-2.3447910280083306e-13,4.6896285023577966e-17,-239.99959267359483
81.0,3.3294756721222883e-12,2.504647215215677e-12,8.332746467748028e-16,-239.99276528221492
82.0,-2.0340490321282253e-12,-9.63712501985496e-13,4.501598494572751e-16,-239.9960908410353
83.0,1.0397672485242626e-11,-2.4009298204369945e-12,2.1342545032215363e-15,-239.98148185512076
84.0,1.5098937237866628e-12,8.744454829417124e-12,1.7747706254144148e-15,-239.9845982015054
85.0,-1.668105089373605e-12,1.2471969013305612e-12,4.165609055051938e-16,-239.9963825513388
86.0,8.140502326873199e-13,2.5767855914728e-13,1.707718971239118e-16,-239.99851682078736
87.0,-1.7585583065993765e-12,3.9747019318257514e-13,3.605834090569482e-16,-239.9968685768393
88.0,-9.354336590650035e-13,3.0572313814493898e-12,6.394278645861685e-16,-239.99444777507125
89.0,1.714776247801694e-12,2.490379026139361e-12,6.047295353746065e-16,-239.99474897356026
90.0,6.051087837835058e-13,-1.716878718037386e-13,1.2579878624795243e-16,-239.99890739434886
91.0,2.8239863986609443e-12,-7.693845699412533e-13,5.85383696263765e-16,-239.99491690945237
92.0,-1.424898393013242e-12,1.915077802290415e-12,4.774037460781892e-16,-239.99585431325326
93.0,-3.950106508867137e-12,5.249614943215879e-12,1.3139527918982475e-15,-239.9885946424708
94.0,1.102295274039973e-13,3.847177242231503e-13,8.003955922995792e-17,-239.99930481304273
95.0,1.7761407512570558e-12,-2.0317584575920314e-12,5.397302436689176e-16,-239.99531322735191
96.0,9.619488061503286e-15,3.157902830527155e-14,6.60233164653381e-18,-239.99994265306526
97.0,2.6865628710814983e-12,-1.5791920888433357e-12,6.232645574309209e-16,-239.99458807919294
98.0,-3.1263050085382554e-12,2.808835304305622e-12,8.405555013947632e-16,-239.99270209439806
99.0,7.694553731076536e-12,5.758663110047871e-12,1.92216916982299e-15,-239.98332027621996
100.0,-2.743849936711863e-12,-6.294213747561508e-12,1.373256555421251e-15,-239.98808022769566
101.0,-3.4777410215814466e-12,7.575935061997358e-13,7.118603945669789e-16,-239.99381905889774
102.0,2.966365802612168e-12,5.746628621865883e-12,1.2934151165431012e-15,-239.98877279819362
103.0,3.1241805504505053e-12,-2.862483819579616e-12,8.47450711939481e-16,-239.99264225386582
104.0,-9.411981085889783e-12,-1.4992510890547404e-12,1.9061284509620947e-15,-239.9834593379489
105.0,8.276225830692975e-12,9.445733651854434e-12,2.511714937825588e-15,-239.97821087384384
106.0,4.280302201649173e-12,-9.398801998888478e-13,8.764556287134189e-16,-239.99239053732762
107.0,-1.3120659297356856e-11,5.319077471759331e-12,2.831566955223871e-15,-239.97544007707077
108.0,5.498163012744775e-12,-7.947153094784441e-13,1.1110601952699795e-15,-239.99035481096377
109.0,-6.408144158736474e-12,-2.2054835841094073e-12,1.3554109251282354e-15,-239.98823502168025
110.0,5.448319119500748e-12,3.564850872679257e-12,1.3021880505112841e-15,-239.98869669622258
111.0,-5.054126650518645e-12,-2.0573614464876894e-12,1.0913648761248775e-15,-239.99052569415355
112.0,-2.0056157951221552e-13,7.55525581516507e-12,1.5115834793985018e-15,-239.98688046585858
113.0,4.012182407420264e-12,-3.643185381323283e-12,1.0838894296578472e-15,-239.9905905545127
114.0,1.3546171958248044e-12,1.0259649673509234e-12,3.398583152700924e-16,-239.99704852969344
115.0,-1.1073205532884986e-12,3.694245392442445e-12,7.71326333721788e-16,-239.99330292707282
116.0,4.214112205043221e-12,4.68647001421859e-12,1.2605037543913027e-15,-239.98905829808135
117.0,2.6312542042410763e-13,7.273980871897481e-13,1.5470526353303793e-16,-239.99865635108662
118.0,-2.8086747801987214e-12,6.615754976775433e-12,1.437454248783637e-15,-239.9875233961621
119.0,1.8675977427509528e-12,9.640383129317559e-12,1.963923707365019e-15,-239.98295830424328
120.0,-3.211158003960155e-11,-1250.0,0.25,-12.041199826524505
121.0,-7.489609508169202e-12,-1.0870533686429843e-12,1.5136173309147406e-15,-239.98686282672975
122.0,9.109219663909605e-13,-7.2289225785463565e-12,1.4572179037531878e-15,-239.98735197933397
123.0,-2.2109117548871762e-13,-7.682594655771121e-12,1.5371550598786314e-15,-239.9866586919979
124.0,-1.8531143698070937e-13,-2.357946406769546e-12,4.73043405444924e-16,-239.99589216870095
125.0,-1.3438988056883467e-12,-4.689194364646127e-12,9.755943376088148e-16,-239.99153022611227
126.0,-1.535389493772005e-12,-3.003459975504268e-12,6.746315356412432e-16,-239.99414220064102
127.0,-1.5355403825180846e-12,-4.40629666525419e-12,9.332381168506561e-16,-239.991897776775
128.0,2.6725366418284814e-12,-6.346785182821426e-13,5.493730580756458e-16,-239.99522951651502
129.0,-6.507480734326417e-13,-1.129775546011502e-12,2.6075780635999243e-16,-239.9977353817173
130.0,5.108030761321087e-13,1.075891281576465e-12,2.381983906207826e-16,-239.99793128144003
131.0,-6.828136664052382e-13,1.3684954377823613e-12,3.058767245974038e-16,-239.99734359477284
132.0,3.236730447811474e-13,-5.322489797925113e-14,6.560400282994943e-17,-239.99943018956233
133.0,-2.1098544271299562e-12,-3.340737108928097e-12,7.90240726225854e-16,-239.99313876692048
134.0,5.986865886564611e-13,1.7390244947076885e-12,3.678386507495069e-16,-239.99680558155427
135.0,6.034923509899947e-13,-1.1055342417891981e-12,2.5190545666752417e-16,-239.99781225254534
136.0,1.1649298660164364e-13,1.3268310157188327e-12,2.663870237230665e-16,-239.99768649984046
137.0,2.6181114717725336e-13,4.1114555082503287e-13,9.748553549106435e-17,-239.9991532926676
138.0,-1.1254389606014544e-12,-1.9955832122160352e-12,4.582124053719259e-16,-239.99602092917632
139.0,4.793032110684303e-13,-1.7521573042840645e-12,3.6330630531806123e-16,-239.99684493462007
140.0,-2.5975950785163086e-12,2.719834257667392e-12,7.521967450371817e-16,-239.99346895809288
141.0,-5.840245742865192e-12,-5.6983943381657e-12,1.6319334345529405e-15,-239.9858367598826
142.0,1.6545608219608543e-12,-3.825229890383365e-12,8.335455651096733e-16,-239.9927629310077
143.0,8.966264434880543e-13,6.329276168668709e-13,2.1950274233866088e-16,-239.99809363262358
144.0,-1.0416446745498704e-12,-2.646236010547579e-12,5.687737213176036e-16,-239.99506109865314
145.0,1.0573792686817789e-12,-3.8678333125429144e-12,8.019522542260159e-16,-239.9930371227993
146.0,-9.510494771545488e-14,2.1819214200350843e-13,4.760368133329128e-17,-239.99958652951887
147.0,-7.900621454860358e-14,-1.4921200375514325e-12,2.9884204445825817e-16,-239.99740467875884
148.0,-1.8718817715715687e-13,-6.522806551428415e-13,1.3572169564826307e-16,-239.99882121632155
149.0,8.54186471354892e-13,-5.406268630105204e-13,2.0217931969954964e-16,-239.99824407024235
150.0,-2.5612500511495975e-13,2.7000623958883807e-13,7.443208653854686e-17,-239.9993535151701
151.0,2.16828472938834e-12,1.2713405277728617e-12,5.027033083343075e-16,-239.99563467168372
152.0,4.2712787559193437e-13,3.98367322939763e-13,1.168134831419511e-16,-239.99898543023374
153.0,-1.6183103384704442e-12,-1.9940029424895117e-12,5.136137103410365e-16,-239.99553995326792
154.0,-6.309713468879482e-13,1.1139739453691515e-12,2.5605177535450947e-16,-239.9977762472234
155.0,-1.327155692412381e-12,8.071465805955286e-13,3.106655973531437e-16,-239.99730201197139
156.0,9.621247904269355e-13,-9.61184219969534e-13,2.719970012388016e-16,-239.99763778530846
157.0,-1.406633147344901e-13,9.871474926378785e-13,1.9942380402884152e-16,-239.99826799954232
158.0,-8.017896658536959e-12,1.0276516969014288e-12,1.6166970629913637e-15,-239.98596888670886
159.0,-1.875579020586349e-14,-5.9122038152138535e-12,1.1824467130876636e-15,-239.98973546578435
160.0,7.67922291277209e-12,1.802266912885554e-12,1.5775757423252408e-15,-239.9863081483356
161.0,-7.309301639716711e-12,2.836863285535773e-12,1.5681031058088777e-15,-239.98639029740366
162.0,1.4594308532121409e-12,-9.305265402911413e-13,3.4616863274963076e-16,-239.99699373776662
163.0,-2.224828226592802e-12,1.141639696442559e-11,2.3262328369033906e-15,-239.97981806315792
164.0,-2.2792414720518694e-11,6.518003720462922e-12,4.741217317491725e-15,-239.95891562781875
165.0,-1.6807816413016405e-11,-2.5221178546041335e-11,6.061717709774877e-15,-239.94750752598696
166.0,8.645431971731468e-12,-1.961305921876377e-11,4.286796407092696e-15,-239.96284494081718
167.0,9.481709686517572e-12,-6.71564436044708e-14,1.8963895018409983e-15,-239.9835437688611
168.0,3.8459691940555077e-13,-3.351393901760676e-12,6.746778749944269e-16,-239.99414179841392
169.0,6.559711925726305e-12,-7.1957261160117576e-12,1.947391022729329e-15,-239.9831016250311
170.0,4.78635555579655e-12,-1.693394965483081e-12,1.0154168802147806e-15,-239.99118467589923
171.0,3.1728712838277037e-13,-2.0364238487448444e-12,4.121986517966379e-16,-239.99642042569872
172.0,4.181845384199725e-12,-2.5749317101164035e-12,9.8220372895068e-16,-239.9914728738106
173.0,-7.790437928016177e-14,-1.5443876273982009e-12,3.0927025307789766e-16,-239.99731412802217
174.0,1.0570543164948254e-13,2.109702434535024e-14,2.1558035825586456e-17,-239.99981275129838
175.0,1.9270177741792954e-12,1.3256049559332663e-13,3.8631436872034017e-16,-239.99664516399665
176.0,1.1965018402248818e-13,-1.522206139231339e-12,3.0538026765658543e-16,-239.99734790562553
177.0,-8.655050858850361e-13,-1.359391095108842e-12,3.223068850120382e-16,-239.9972009290229
178.0,2.8668317158893386e-12,1.41135270965836e-12,6.390818588659517e-16,-239.99445077851877
179.0,-9.279008748643446e-13,-2.7092318795730628e-12,5.727455774030563e-16,-239.995026619229
180.0,-7.556058726960853e-13,-5.536986685839253e-12,1.1176611614261985e-15,-239.9902975395213
181.0,2.9113987030534245e-12,-1.04459824899333e-11,2.1688226537744785e-15,-239.98118224460364
182.0,6.718654935585587e-12,9.810875243696803e-13,1.3579816916872245e-15,-239.98821272253878
183.0,3.1568204284667512e-12,-1.0200598317776747e-12,6.635069638818058e-16,-239.99423876283683
184.0,3.1992755313914387e-12,-8.290842022438659e-13,6.60991514020273e-16,-239.99426059729686
185.0,-1.0118979111080077e-12,2.352844987688937e-12,5.122427908169212e-16,-239.99555185481898
186.0,2.161055162795513e-12,-8.269812220529377e-13,4.627767218982957e-16,-239.99598130227469
187.0,7.953952219920778e-13,-1.5576927296329947e-12,3.498033847245802e-16,-239.99696217769454
188.0,-2.1580947660508376e-13,1.5485871709851674e-12,3.1271047032885893e-16,-239.99728425596473
189.0,1.0727894589612414e-12,-2.316146574998105e-12,5.105061088815218e-16,-239.99556693173668
190.0,3.0026658290038775e-12,-1.853898610638902e-12,7.057745288460443e-16,-239.99387188261338
191.0,3.613606804384558e-12,-1.4946597091382437e-12,7.821038750144534e-16,-239.9932093871924
192.0,1.930778021148723e-12,3.0160804775883294e-13,3.908386460637624e-16,-239.99660588188706
193.0,3.184093977197031e-13,-1.4895774872309272e-12,3.0464573753928854e-16,-239.99735428372765
194.0,5.877727339292204e-13,-1.1568301835959346e-12,2.595174645706322e-16,-239.99774615238735
195.0,-2.351714302441679e-12,-1.4113424312476775e-12,5.4854161623522645e-16,-239.99523673436482
196.0,6.938250984724254e-12,-4.741629345549566e-12,1.680742402363954e-15,-239.9854135116169
197.0,4.343568372150851e-12,1.5163181395740194e-12,9.201262283828327e-16,-239.99201155975055
198.0,2.0993347287938647e-13,4.4204765802423555e-12,8.850917525207508e-16,-239.99231559092016
199.0,2.3252692555551316e-12,4.708694786952053e-13,4.744932107753117e-16,-239.99587958181513
200.0,-2.550696663143563e-12,-4.2726278886913647e-13,5.172468253406274e-16,-239.995508412689
201.0,-2.0615997457493602e-12,-3.315971740348824e-12,7.809189994990733e-16,-239.9932196708536
202.0,2.2262082795013803e-12,-2.848055409832981e-12,7.229778121408543e-16,-239.9937225634633
203.0,4.123197508286922e-12,-2.0160177277422455e-12,9.179343150991684e-16,-239.99203058098632
204.0,5.238420586405024e-12,-9.520351092859312e-13,1.0648459248057445e-15,-239.99075578677395
205.0,2.7683775970776317e-12,9.82144708352928e-13,5.874869444727085e-16,-239.9948986515776
206.0,9.103261830321645e-13,3.758509613748209e-13,1.969728615500406e-16,-239.99828928393967
207.0,2.847545655594082e-12,-1.342884014374623e-13,5.701420747656977e-16,-239.99504922005048
208.0,2.1307238600512754e-12,2.64862378730459e-12,6.798585774840976e-16,-239.9940968298596
209.0,-1.8605125067399023e-12,9.188361667866555e-13,4.150068283356692e-16,-239.99639604427145
210.0,-5.900745460088315e-13,-2.0128339702134167e-12,4.195086917570426e-16,-239.9963569578917
211.0,5.280930542497601e-13,1.527320774760173e-12,3.23208355273242e-16,-239.9971931014781
212.0,-2.5694601720849375e-13,-4.860029668174941e-12,9.733634394469506e-16,-239.99154958458308
213.0,1.7778699715183012e-12,-1.3380262188684944e-12,4.450229566216109e-16,-239.9961354395577
214.0,3.0281996551331797e-12,-5.164534735268696e-13,6.1438480911125e-16,-239.99466516000734
215.0,3.7418022666172626e-12,1.7231276591833994e-12,8.238993417233673e-16,-239.99284664766157
216.0,-5.407462965338564e-13,6.266815478880227e-13,1.6554592349899885e-16,-239.99856220538567
217.0,4.224111598030523e-12,-3.3698934008770807e-12,1.080727538760642e-15,-239.99061798865586
218.0,2.199948274559747e-12,2.3822961576856726e-12,6.485401265507734e-16,-239.99436867790678
219.0,2.2580238394488544e-12,2.0757634787776757e-12,6.134318439516013e-16,-239.99467343227911
220.0,-2.5161547717138342e-12,3.4028983043421475e-12,8.464219209097307e-16,-239.9926511822694
221.0,2.154716621465534e-13,-2.524996258857021e-12,5.068346532915897e-16,-239.99559880538155
222.0,-2.1819393489133677e-12,2.2709806823690367e-13,4.387451586027326e-16,-239.9961899437339
223.0,1.1773488373541926e-12,-7.875452002945028e-13,2.8329332694761293e-16,-239.99753969390463
224.0,2.2050654621644472e-12,-1.3827235514291431e-12,5.205473316465017e-16,-239.99547975972342
225.0,4.866953704263971e-13,-5.913542766791982e-13,1.531760117174051e-16,-239.99866963195467
226.0,-8.617850081457245e-13,4.687078605537344e-13,1.9619994483277364e-16,-239.99829599608947
227.0,-9.44438526446929e-13,-3.929835427646071e-13,2.0458740871530374e-16,-239.9982231581001
228.0,2.3428967487650018e-12,2.6909598111279432e-12,7.135945594097352e-16,-239.99380400686132
229.0,4.140572247000115e-13,-2.2646368946332725e-12,4.604356046120025e-16,-239.99600162757878
230.0,-4.905974274918119e-12,-1.0621236133601584e-12,1.0039260960093748e-15,-239.99128438291137
231.0,-3.834197454490569e-12,2.163824454659274e-12,8.805272600119422e-16,-239.99235520262874
232.0,7.2539119600124935e-12,-2.4392167716371572e-11,5.089585777358357e-15,-239.9559045385057
233.0,6.803127296284836e-12,8.041918911147453e-12,2.1067035936071014e-15,-239.9817206529154
234.0,5.9658873482874896e-12,5.424024672311308e-12,1.6125985923136423e-15,-239.98600442818588
235.0,8.297732348789908e-13,-2.9692828526124125e-12,6.166089289051741e-16,-239.99464585343136
236.0,-5.049507437194549e-13,-1.5588925293739835e-13,1.056932756166088e-16,-239.99908200838445
237.0,1.1455395759120255e-12,5.3304562339759094e-14,2.2935581931548514e-16,-239.9980080690873
238.0,5.411950757434718e-13,2.3464865365726684e-13,1.1797492965408375e-16,-239.9989753432217
239.0,4.3160050030481705e-12,-9.977700260031266e-13,8.859671373392383e-16,-239.99230799415142
240.0,2.697827654305824e-12,4.3658492827149124e-12,1.026429033332935e-15,-239.99108912310462
241.0,3.645990775091973e-12,-1.087860100301822e-12,7.609648698825577e-16,-239.99339285670501
242.0,7.830055732838366e-12,-2.0758997008877553e-12,1.6201127411078628e-15,-239.9859392664433
243.0,-3.3276539213839374e-13,-1.7047758283587818e-12,3.4738989226293786e-16,-239.99698313371852
244.0,-5.977917685056546e-12,1.0133958582568334e-12,1.2126412662423115e-15,-239.98947351292801
245.0,3.3224095666386965e-13,-4.631380355948334e-13,1.1399664789800874e-16,-239.99900989413055
246.0,4.1078281391771325e-12,5.315968807095954e-12,1.343633527105254e-15,-239.98833718099345
247.0,-1.9562603777653248e-12,-3.9845775788270187e-13,3.9928552442739224e-16,-239.99653254220755
248.0,-3.2619226135211215e-13,-6.401493643954946e-13,1.4369308961838911e-16,-239.9987519873451
249.0,1.7556768973593429e-12,1.4355669178090778e-12,4.535748557153133e-16,-239.99606119206527
250.0,4.289319379318244e-12,1.9766226254029656e-13,8.587742685438963e-16,-239.99254398253936
251.0,6.865504383319671e-12,-4.478464744335371e-12,1.6394120519702972e-15,-239.98577190751433
252.0,1.6020158388315254e-14,9.268682347958148e-13,1.8540133442327715e-16,-239.99838977373489
253.0,-4.480861663166263e-12,-3.2996894650194925e-12,1.1129433374614135e-15,-239.9903384723671
254.0,1.4106386599705608e-12,1.881116780235547e-12,4.702553251112545e-16,-239.99591637424254
255.0,-5.196143690193104e-13,8.372213972919447e-13,1.9707244968029523e-16,-239.99828841909857
256.0,-8.644599369127816e-13,-3.928407921779883e-13,1.8990680562068118e-16,-239.9983506470516
257.0,4.553846447170418e-13,-1.4921504666643476e-12,3.1201847315892676e-16,-239.99729026469885
258.0,4.064132741646909e-13,-2.7265601299479506e-12,5.513366264502676e-16,-239.99521247055816
259.0,3.402587234817838e-12,-2.8210394110505775e-12,8.839878562343691e-16,-239.99232517076774
260.0,4.145755795026335e-12,-9.90033617586648e-13,8.524660151805734e-16,-239.99259872849012
261.0,1.9169590160773665e-12,9.430988880081588e-13,4.2727824105060765e-16,-239.9962895010048
262.0,1.2150912764862983e-12,5.939879576103197e-13,2.7050090602282136e-16,-239.99765077670247
263.0,5.264572703451991e-12,-1.3282715962333883e-12,1.0859103311653719e-15,-239.9905730202082
264.0,1.9879541932823065e-13,1.3058058079589207e-12,2.641702804514646e-16,-239.99770574912145
265.0,-1.9189705986526845e-12,3.206992961091161e-12,7.474557381138149e-16,-239.9935101071012
266.0,-5.65369401027475e-12,-8.425511038463515e-13,1.1432261075466968e-15,-239.99007573595708
267.0,-1.2862991174624384e-12,-1.0027535044850111e-11,2.0219399050939347e-15,-239.98245538423774
268.0,6.204738792895618e-12,-5.110072026137287e-12,1.6076270662112478e-15,-239.9860475408966
269.0,-3.7987893431637083e-13,1.3033294369885143e-12,2.715124767710051e-16,-239.99764199269111
270.0,1.3335641464942856e-12,-6.834808139410636e-12,1.3927382472721702e-15,-239.98791124557212
271.0,8.384190731454268e-12,-5.8088071072225535e-12,2.0399695510504357e-15,-239.98229909813276
272.0,-3.6011705863832367e-13,-2.548419175321781e-12,5.147474949553447e-16,-239.99553011040092
273.0,4.360841894625993e-12,-1.0065473229587076e-11,2.193906956691275e-15,-239.980964839357
274.0,1.014594299717692e-11,-3.370721322052918e-12,2.138241534840305e-15,-239.9814472980267
275.0,9.641961375933875e-13,-9.53590207824914e-13,2.7122009337138496e-16,-239.99764453161208
276.0,8.330520365134715e-12,-1.760903800230332e-11,3.896027663764654e-15,-239.96622528465906
277.0,2.089722287941905e-11,-2.9758718579427536e-12,4.221609822743028e-15,-239.9634087457542
278.0,8.481322713376611e-13,-1.452760925180256e-12,3.3644272353046805e-16,-239.99707818711767
279.0,1.9152378303428967e-11,-3.592417692351149e-11,8.142137513723069e-15,-239.9295646517371
280.0,8.078010411450365e-11,-2.5200024976632127e-12,1.6163880268473012e-14,-239.86072492456796
281.0,4.65143791358136e-11,8.069587027359667e-11,1.8628377219289234e-14,-239.8396845860108
282.0,-3.7765726820852245e-11,5.95528330927152e-11,1.4103602449978561e-14,-239.87835349031144
283.0,-2.796624354960364e-11,-1.6104690365356237e-12,5.602515109460704e-15,-239.95147298216207
284.0,4.040232838514549e-12,5.04581080207497e-12,1.2928060649571192e-15,-239.98877808151656
285.0,-1.0942574098854739e-11,1.4719842412896868e-11,3.668316717893612e-15,-239.96819570434624
286.0,-9.070961544965062e-12,-1.7201760023216574e-12,1.8465248314517547e-15,-239.98397607883544
287.0,2.700427387056057e-12,4.987682746291695e-12,1.1343595065131384e-15,-239.99015266267153
288.0,-9.282312514166943e-12,9.805400554386609e-12,2.700423712254249e-15,-239.976576030765
